geo	year	month	backing_unsafely_mtd	brake_lights_defect_or_improper_mtd	bus_lane_driving_in_mtd	cell_phone_mtd	commercial_veh_on_pkwy_mtd	defective_brakes_mtd	disobey_sign_mtd	equipment_other_mtd	fail_to_keep_right_mtd	fail_to_signal_mtd	fail_to_stop_on_signal_mtd	following_too_closely_mtd	headlights_defect_or_improper_mtd	improper_lights_mtd	improper_passing_mtd	improper_turn_mtd	improper_missing_plates_mtd	not_giving_r_of_w_to_pedes_mtd	not_giving_r_of_w_to_veh_mtd	one_way_street_mtd	pavement_markings_mtd	safety_belt_mtd	school_bus_passing_stopped_mtd	speeding_mtd	spillback_mtd	tinted_windows_mtd	truck_routes_mtd	u_turn_mtd	uninspected_mtd	uninsured_mtd	unlicensed_operator_mtd	unregistered_mtd	unsafe_lane_change_mtd	other_movers_mtd	total_movers_mtd	backing_unsafely_ytd	brake_lights_defect_or_improper_ytd	bus_lane_driving_in_ytd	cell_phone_ytd	commercial_veh_on_pkwy_ytd	defective_brakes_ytd	disobey_sign_ytd	equipment_other_ytd	fail_to_keep_right_ytd	fail_to_signal_ytd	fail_to_stop_on_signal_ytd	following_too_closely_ytd	headlights_defect_or_improper_ytd	improper_lights_ytd	improper_passing_ytd	improper_turn_ytd	improper_missing_plates_ytd	not_giving_r_of_w_to_pedes_ytd	not_giving_r_of_w_to_veh_ytd	one_way_street_ytd	pavement_markings_ytd	safety_belt_ytd	school_bus_passing_stopped_ytd	speeding_ytd	spillback_ytd	tinted_windows_ytd	truck_routes_ytd	u_turn_ytd	uninspected_ytd	uninsured_ytd	unlicensed_operator_ytd	unregistered_ytd	unsafe_lane_change_ytd	other_movers_ytd	total_movers_ytd
90th Precinct	2011	8	2	32	0	110	1	0	32	8	0	4	75	0	12	1	0	0	1	0	0	29	1	140	0	0	1	10	51	2	1	73	36	9	1	38	670	21	190	1	1726	4	4	867	78	6	88	467	3	145	19	36	52	1	8	11	132	27	1475	10	11	16	209	279	15	43	705	407	70	2	351	7479
94th Precinct	2011	8	1	26	0	202	0	0	80	4	0	6	50	0	16	0	5	78	1	3	3	0	19	103	0	19	1	22	24	1	0	29	62	4	0	4	763	10	197	0	1914	0	18	1006	46	3	49	462	10	199	0	33	513	14	5	11	7	201	969	3	183	14	460	126	11	6	247	402	56	10	85	7270
100th Precinct	2011	8	0	15	0	76	0	0	35	0	0	0	4	0	16	0	12	5	0	1	0	0	16	106	0	8	0	18	1	0	7	24	64	4	0	14	426	1	62	0	812	0	0	404	0	1	5	139	4	48	1	60	158	4	7	8	4	139	765	15	108	2	243	17	1	30	199	561	32	0	75	3905
101st Precinct	2011	8	2	35	0	97	0	0	31	7	0	1	5	0	30	1	2	1	0	2	0	2	8	65	0	0	0	5	1	0	3	76	56	7	0	5	442	12	267	0	951	0	2	375	68	1	51	193	1	248	9	33	16	17	31	6	39	129	968	14	69	1	164	21	3	72	821	599	67	2	33	5283
102nd Precinct	2011	8	0	60	0	65	0	0	116	0	0	3	9	0	49	2	1	30	1	4	1	2	13	125	0	8	0	35	4	3	12	103	39	13	0	7	705	7	230	0	895	0	2	1340	0	0	18	221	1	178	38	26	198	16	78	9	36	34	1313	11	104	2	478	42	8	45	881	395	108	4	109	6827
103rd Precinct	2011	8	3	32	0	89	0	0	367	0	0	3	13	0	38	4	0	21	1	3	2	2	12	158	0	0	11	475	1	18	8	33	75	12	2	37	1420	15	250	0	1249	0	0	3671	0	3	91	221	1	164	42	12	224	60	56	38	45	208	1734	13	49	99	4004	129	458	89	744	872	153	42	452	15188
104th Precinct	2011	8	0	1	0	101	0	0	60	0	0	1	7	0	0	0	2	2	0	12	0	1	2	158	0	0	0	65	35	0	0	56	61	0	2	54	620	8	1	0	1171	0	0	651	0	0	11	201	4	0	0	46	14	0	100	9	2	54	1602	18	121	2	698	358	2	0	540	598	0	3	777	6991
105th Precinct	2011	8	1	113	0	208	0	0	65	0	0	8	17	1	41	0	5	15	0	0	0	5	66	333	0	11	0	148	69	3	46	209	85	15	0	72	1536	3	759	0	1365	0	5	541	0	9	103	218	3	367	9	51	143	1	23	3	32	457	2758	26	261	1	1713	216	29	343	1728	602	138	0	473	12380
106th Precinct	2011	8	0	0	0	42	0	0	44	0	0	0	50	0	0	64	3	58	0	0	0	1	12	150	0	2	1	76	22	0	10	101	58	9	2	26	731	12	0	0	681	0	0	609	0	2	0	646	6	0	787	33	876	0	28	18	17	107	1587	11	92	8	952	112	0	58	1107	541	127	54	355	8826
107th Precinct	2011	8	1	67	0	102	0	0	36	3	0	5	10	0	13	3	0	129	0	1	1	0	7	207	0	3	0	53	0	0	4	52	34	2	0	2	735	5	410	0	2008	0	0	578	24	5	33	176	4	71	56	36	1310	1	49	26	8	68	2683	11	188	2	1104	1	2	21	482	655	30	18	71	10136
108th Precinct	2011	8	0	32	0	148	0	0	135	0	0	2	37	0	14	0	0	70	0	7	2	3	10	143	0	26	14	29	1	0	3	51	45	4	1	15	792	3	192	0	1775	0	8	1711	13	1	49	492	1	35	0	1	875	0	155	26	30	117	1974	14	193	44	280	129	1	41	762	537	59	16	274	9808
109th Precinct	2011	8	0	11	0	323	0	0	242	16	0	22	76	0	8	2	1	14	8	16	2	2	18	289	0	13	4	114	27	3	7	25	82	3	2	23	1353	13	142	0	3256	0	0	2931	104	9	127	970	5	158	2	19	269	62	236	71	34	115	3508	44	114	12	873	247	51	55	440	836	64	40	216	15023
110th Precinct	2011	8	0	7	0	238	0	0	30	0	0	11	16	0	4	6	0	1	5	42	2	7	15	393	2	436	3	50	31	1	4	62	87	8	0	15	1476	9	147	0	1774	0	1	579	5	0	144	241	7	87	31	6	2	38	291	10	79	53	2989	14	2802	13	485	144	10	32	604	804	74	8	167	11650
111th Precinct	2011	8	0	3	0	298	0	0	19	6	0	14	10	0	2	0	4	3	3	1	0	1	5	228	0	3	2	75	0	0	6	44	58	8	1	17	811	3	13	0	2635	0	0	389	18	0	67	193	5	14	44	10	28	17	38	0	19	300	3282	11	86	8	868	57	23	95	473	509	53	15	189	9462
112th Precinct	2011	8	0	2	0	187	0	0	169	1	0	5	17	1	4	0	3	1	2	3	0	5	5	391	1	24	0	29	0	3	1	53	47	5	2	6	967	6	69	0	1384	0	2	1353	68	5	47	351	3	39	0	30	11	19	84	13	52	33	3226	33	111	6	389	80	33	19	545	498	47	10	98	8664
113th Precinct	2011	8	0	100	0	68	0	0	109	0	0	2	22	0	19	7	4	147	0	0	0	0	24	68	0	7	0	50	11	0	6	123	88	9	0	41	905	2	479	0	1121	0	6	1303	3	0	2	262	4	159	181	28	1677	3	2	14	0	341	1149	27	69	3	1083	139	0	172	1347	936	183	0	347	11042
114th Precinct	2011	8	1	0	0	140	0	0	253	5	0	4	34	0	0	15	0	1	4	6	2	2	5	147	0	18	0	64	5	0	0	31	49	5	0	26	817	8	0	1	2545	0	0	1865	214	3	130	493	3	0	126	7	48	10	147	9	58	151	2242	8	235	17	616	119	0	23	526	529	34	2	352	10521
115th Precinct	2011	8	0	0	0	330	0	0	12	0	2	2	71	0	0	82	4	1	0	14	3	40	7	268	0	1	0	145	43	4	6	161	191	7	0	165	1559	20	0	0	2249	0	0	368	3	4	181	543	6	0	936	37	58	12	273	35	128	73	2688	15	37	17	1016	160	119	80	1826	1809	112	0	1047	13852
120th Precinct	2011	8	1	66	0	60	0	0	61	47	2	7	15	0	16	0	0	3	6	0	3	1	19	72	0	38	0	77	0	0	7	72	84	16	1	14	688	13	795	0	2183	0	0	794	390	6	213	462	7	522	0	26	52	158	22	35	29	419	1481	38	509	11	1302	1	28	158	1379	1321	267	22	262	12905
